smmp_id,depthpos,node_id,x_smmp,y_smmp,z_surface,install_year,next_tree_id,next_tree_dist,tree_pos,smmp_type,profiledepth_cm,sampling_date_core,fc_vol_perc,ks_m_s,bulkdens_kg_m3,porosity_sat_vol_perc,porosity_calc_vol_perc,gravel_grav_perc,sand_grav_perc,silt_grav_perc,clay_grav_perc,textureclass,textureclass_ger
192,t,67,598890.3,5662810.07,363.95,2014,875,1.98,far,k,,11.11.14,42.76,0.0000051,1.22,49.3,54.1,0.03,3.29,76.71,20.12,SiL,Ut4
193,b,17,598893.87,5662822.43,363.09,2014,990,1.78,far,k,38,04.11.14,33.21,,1.44,38.7,46,,,,,,
193,t,17,598893.87,5662822.43,363.09,2014,990,1.78,far,k,38,04.11.14,43.88,0.0000144,1.19,55.4,55.2,,,,,,
195,b,35,598906.63,5662775.31,365.68,2015,921,0.53,close,k,37,30.03.15,45.06,0.0000461,1.32,56.6,50.4,0.04,6.42,63.5,30.04,,
195,t,35,598906.63,5662775.31,365.68,2015,921,0.53,close,k,37,30.03.15,48.86,0.00000034,1.05,64.5,60.5,0.06,2.54,79.1,18.3,,
198,b,80,598909.17,5662806.92,363.87,2014,952,1.98,far,k,42,06.11.14,46.94,0.000000153,1.38,47.8,48.2,,,,,,
198,t,80,598909.17,5662806.92,363.87,2014,952,1.98,far,k,42,06.11.14,43.31,0.0000765,1.28,49.5,51.9,,,,,,
201,b,7,598801,5662796.85,365.48,2014,114,0.79,close,kt,,07.10.14,34.8,0.00206,1.41,44.2,47.1,,,,,,
201,t,7,598801,5662796.85,365.48,2014,114,0.79,close,kt,,07.10.14,39.83,,0.95,59.9,64.3,,,,,,
202,b,29,598816.77,5662797.64,365.4,2014,118,2.76,far,kt,38,20.10.14,40.68,,1.42,44.5,46.5,,,,,,
202,t,29,598816.77,5662797.64,365.4,2014,118,2.76,far,kt,38,20.10.14,45.81,0.000052,1.25,52,53.1,,,,,,
203,b,35,598898.88,5662782.09,365.5,2014,926,1.12,far,kt,34,13.11.14,49.68,,1.32,47.5,50.5,,,,,,
203,t,35,598898.88,5662782.09,365.5,2014,926,1.12,far,kt,34,13.11.14,43.64,0.0000106,1.21,51.4,54.5,,,,,,
204,b,58,598899.44,5662794.06,364.83,2014,933,2.33,far,kt,36,12.11.14,43.34,0.000446,1.2,52.2,54.8,,,,,,
204,t,58,598899.44,5662794.06,364.83,2014,933,2.33,far,kt,36,12.11.14,41.43,0.000519,1.11,55,58.2,,,,,,
205,b,4,598904.43,5662808.05,363.87,2014,950,2.21,far,kt,28,06.11.14,48.92,,1.2,48,54.8,,,,,,
205,t,4,598904.43,5662808.05,363.87,2014,950,2.21,far,kt,28,06.11.14,43.38,0.00000927,1.22,50.3,54.1,,,,,,
206,b,9,598800.32,5662755.29,368.76,2014,255,1.17,far,kt,,13.10.14,40.07,0.0000163,1.36,47.1,48.9,,,,,,
206,t,9,598800.32,5662755.29,368.76,2014,255,1.17,far,kt,,13.10.14,47.2,,1.02,61.6,61.5,,,,,,
207,b,44,598803.22,5662769.39,367.68,2014,219,2.62,far,kt,41,10.10.14,42.23,0.0000199,1.45,45.9,45.5,,,,,,
207,t,44,598803.22,5662769.39,367.68,2014,219,2.62,far,kt,41,10.10.14,49.77,0.00000683,1.17,55.1,55.9,,,,,,
